Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit;Latitude;Longitude
12;CA-2011-115812;09.06.2011;14.06.2011;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10002033;Technology;Phones;Konftel 250 Conference�phone�- Charcoal black;911.424;4;0.2;68.3568;34.0543942;-118.2439408
13;CA-2014-114412;16.04.2014;21.04.2014;Standard Class;AA-10480;Andrew Allen;Consumer;United States;Concord;North Carolina;28027;South;OFF-PA-10002365;Office Supplies;Paper;Xerox 1967;15.552;3;0.2;5.4432;35.4093772;-80.5797415
14;CA-2013-161389;06.12.2013;11.12.2013;Standard Class;IM-15070;Irene Maddox;Consumer;United States;Seattle;Washington;98103;West;OFF-BI-10003656;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;407.976;3;0.2;132.5922;47.6038321;-122.3300623
15;US-2012-118983;22.11.2012;26.11.2012;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-AP-10002311;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68.81;5;0.8;-123.858;32.753177;-97.3327458
16;US-2012-118983;22.11.2012;26.11.2012;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFF-BI-10000756;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders;2.544;3;0.8;-3.816;32.753177;-97.3327458
17;CA-2011-105893;11.11.2011;18.11.2011;Standard Class;PK-19075;Pete Kriz;Consumer;United States;Madison;Wisconsin;53711;Central;OFF-ST-10004186;Office Supplies;Storage;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";665.88;6;0;13.3176;43.074761;-89.3837612
18;CA-2011-167164;13.05.2011;15.05.2011;Second Class;AG-10270;Alejandro Grove;Consumer;United States;West Jordan;Utah;84084;West;OFF-ST-10000107;Office Supplies;Storage;Fellowes Super Stor/Drawer;55.5;2;0;9.99;40.6096698;-111.939103
19;CA-2011-143336;27.08.2011;01.09.2011;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-AR-10003056;Office Supplies;Art;Newell 341;8.56;2;0;2.4824;37.7792808;-122.4192362
20;CA-2011-143336;27.08.2011;01.09.2011;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone;213.48;3;0.2;16.011;37.7792808;-122.4192362
21;CA-2011-143336;27.08.2011;01.09.2011;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-BI-10002215;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1""";22.72;4;0.2;7.384;37.7792808;-122.4192362
22;CA-2013-137330;10.12.2013;14.12.2013;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AR-10000246;Office Supplies;Art;Newell 318;19.46;7;0;5.0596;41.4337805;-96.4985123
23;CA-2013-137330;10.12.2013;14.12.2013;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AP-10001492;Office Supplies;Appliances;"Acco Six-Outlet Power Strip, 4' Cord Length";60.34;7;0;15.6884;41.4337805;-96.4985123
24;US-2014-156909;17.07.2014;19.07.2014;Second Class;SF-20065;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;71.372;2;0.3;-1.0196;39.9523993;-75.1635898
25;CA-2012-106320;25.09.2012;30.09.2012;Standard Class;EB-13870;Emily Burns;Consumer;United States;Orem;Utah;84057;West;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1044.63;3;0;240.2649;40.2975185;-111.6944684
26;CA-2013-121755;16.01.2013;20.01.2013;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;OFF-BI-10001634;Office Supplies;Binders;Wilson Jones Active Use Binders;11.648;2;0.2;4.2224;34.0543942;-118.2439408
27;CA-2013-121755;16.01.2013;20.01.2013;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;TEC-AC-10003027;Technology;Accessories;Imation�8GB Mini TravelDrive USB 2.0�Flash Drive;90.57;3;0;11.7741;34.0543942;-118.2439408
28;US-2012-150630;17.09.2012;21.09.2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083.43;7;0.5;-1665.0522;39.9523993;-75.1635898
29;US-2012-150630;17.09.2012;21.09.2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10000474;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;9.618;2;0.7;-7.0532;39.9523993;-75.1635898
30;US-2012-150630;17.09.2012;21.09.2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";124.2;3;0.2;15.525;39.9523993;-75.1635898
31;US-2012-150630;17.09.2012;21.09.2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;3.264;2;0.2;1.1016;39.9523993;-75.1635898
32;US-2012-150630;17.09.2012;21.09.2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86.304;6;0.2;9.7092;39.9523993;-75.1635898
33;US-2012-150630;17.09.2012;21.09.2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10001525;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";6.858;6;0.7;-5.715;39.9523993;-75.1635898
34;US-2012-150630;17.09.2012;21.09.2012;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10001683;Office Supplies;Art;Lumber Crayons;15.76;2;0.2;3.546;39.9523993;-75.1635898
35;CA-2014-107727;20.10.2014;24.10.2014;Second Class;MA-17560;Matt Abelman;Home Office;United States;Houston;Texas;77095;Central;OFF-PA-10000249;Office Supplies;Paper;Easy-staple paper;29.472;3;0.2;9.9468;29.7589382;-95.3676973
36;CA-2013-117590;09.12.2013;11.12.2013;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;TEC-PH-10004977;Technology;Phones;GE 30524EE4;1097.544;7;0.2;123.4737;32.9481789;-96.7297205
37;CA-2013-117590;09.12.2013;11.12.2013;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;FUR-FU-10003664;Furniture;Furnishings;"Electrix Architect's Clamp-On Swing Arm Lamp, Black";190.92;5;0.6;-147.963;32.9481789;-96.7297205
38;CA-2012-117415;27.12.2012;31.12.2012;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;OFF-EN-10002986;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";113.328;9;0.2;35.415;29.7589382;-95.3676973
39;CA-2012-117415;27.12.2012;31.12.2012;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;532.3992;3;0.32;-46.9764;29.7589382;-95.3676973
40;CA-2012-117415;27.12.2012;31.12.2012;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-CH-10004218;Furniture;Chairs;"Global Fabric Manager's Chair, Dark Gray";212.058;3;0.3;-15.147;29.7589382;-95.3676973
41;CA-2012-117415;27.12.2012;31.12.2012;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;TEC-PH-10000486;Technology;Phones;Plantronics HL10 Handset Lifter;371.168;4;0.2;41.7564;29.7589382;-95.3676973
42;CA-2014-120999;11.09.2014;16.09.2014;Standard Class;LC-16930;Linda Cazamias;Corporate;United States;Naperville;Illinois;60540;Central;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;147.168;4;0.2;16.5564;41.7729107;-88.1478669
43;CA-2013-101343;18.07.2013;23.07.2013;Standard Class;RA-19885;Ruben Ausman;Corporate;United States;Los Angeles;California;90049;West;OFF-ST-10003479;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum;77.88;2;0;3.894;34.0543942;-118.2439408
44;CA-2014-139619;20.09.2014;24.09.2014;Standard Class;ES-14080;Erin Smith;Corporate;United States;Melbourne;Florida;32935;South;OFF-ST-10003282;Office Supplies;Storage;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;95.616;2;0.2;9.5616;28.0836269;-80.6081088
45;CA-2013-118255;12.03.2013;14.03.2013;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;TEC-AC-10000171;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;45.98;2;0;19.7714;44.818173;-93.1659178
46;CA-2013-118255;12.03.2013;14.03.2013;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;OFF-BI-10003291;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings;17.46;2;0;8.2062;44.818173;-93.1659178
47;CA-2011-146703;20.10.2011;25.10.2011;Second Class;PO-18865;"Patrick O'Donnell";Consumer;United States;Westland;Michigan;48185;Central;OFF-ST-10001713;Office Supplies;Storage;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;211.96;4;0;8.4784;42.3238056;-83.400532
48;CA-2013-169194;21.06.2013;26.06.2013;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TEC-AC-10002167;Technology;Accessories;Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive;45;3;0;4.95;39.158168;-75.5243681
49;CA-2013-169194;21.06.2013;26.06.2013;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TEC-PH-10003988;Technology;Phones;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;21.8;2;0;6.104;39.158168;-75.5243681
50;CA-2012-115742;18.04.2012;22.04.2012;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFF-BI-10004410;Office Supplies;Binders;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;38.22;6;0;17.9634;38.2856247;-85.8241311
51;CA-2012-115742;18.04.2012;22.04.2012;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFF-LA-10002762;Office Supplies;Labels;Avery 485;75.18;6;0;35.3346;38.2856247;-85.8241311
52;CA-2012-115742;18.04.2012;22.04.2012;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FUR-FU-10001706;Furniture;Furnishings;Longer-Life Soft White Bulbs;6.16;2;0;2.9568;38.2856247;-85.8241311
53;CA-2012-115742;18.04.2012;22.04.2012;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FUR-CH-10003061;Furniture;Chairs;Global Leather Task Chair, Black;89.99;1;0;17.0981;38.2856247;-85.8241311
54;CA-2013-105816;12.12.2013;18.12.2013;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;OFF-FA-10000304;Office Supplies;Fasteners;Advantus Push Pins;15.26;7;0;6.2566;40.85880085;-73.8632141502538
55;CA-2013-105816;12.12.2013;18.12.2013;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;TEC-PH-10002447;Technology;Phones;AT&T CL83451 4-Handset Telephone;1029.95;5;0;298.6855;40.85880085;-73.8632141502538
56;CA-2013-111682;18.06.2013;19.06.2013;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-ST-10000604;Office Supplies;Storage;Home/Office Personal File Carts;208.56;6;0;52.14;42.7284117;-73.691785
57;CA-2013-111682;18.06.2013;19.06.2013;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10001569;Office Supplies;Paper;Xerox 232;32.4;5;0;15.552;42.7284117;-73.691785
58;CA-2013-111682;18.06.2013;19.06.2013;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;FUR-CH-10003968;Furniture;Chairs;Novimex Turbo Task Chair;319.41;5;0.1;7.098;42.7284117;-73.691785
59;CA-2013-111682;18.06.2013;19.06.2013;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10000587;Office Supplies;Paper;Array Parchment Paper, Assorted Colors;14.56;2;0;6.9888;42.7284117;-73.691785
60;CA-2013-111682;18.06.2013;19.06.2013;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;TEC-AC-10002167;Technology;Accessories;Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive;30;2;0;3.3;42.7284117;-73.691785
61;CA-2013-111682;18.06.2013;19.06.2013;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-BI-10001460;Office Supplies;Binders;Plastic Binding Combs;48.48;4;0.2;16.362;42.7284117;-73.691785
62;CA-2013-111682;18.06.2013;19.06.2013;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-AR-10001868;Office Supplies;Art;Prang Dustless Chalk Sticks;1.68;1;0;0.84;42.7284117;-73.691785
63;CA-2012-135545;24.11.2012;30.11.2012;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;TEC-AC-10004633;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;13.98;2;0;6.1512;34.0543942;-118.2439408
64;CA-2012-135545;24.11.2012;30.11.2012;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-BI-10001078;Office Supplies;Binders;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";25.824;6;0.2;9.3612;34.0543942;-118.2439408
65;CA-2012-135545;24.11.2012;30.11.2012;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-PA-10003892;Office Supplies;Paper;Xerox 1943;146.73;3;0;68.9631;34.0543942;-118.2439408
66;CA-2012-135545;24.11.2012;30.11.2012;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;FUR-FU-10000397;Furniture;Furnishings;Luxo Economy Swing Arm Lamp;79.76;4;0;22.3328;34.0543942;-118.2439408
67;US-2012-164175;30.04.2012;05.05.2012;Standard Class;PS-18970;Paul Stevenson;Home Office;United States;Chicago;Illinois;60610;Central;FUR-CH-10001146;Furniture;Chairs;"Global Value Mid-Back Manager's Chair, Gray";213.115;5;0.3;-15.2225;41.8755546;-87.6244211
68;CA-2011-106376;05.12.2011;10.12.2011;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;OFF-AR-10002671;Office Supplies;Art;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1113.024;8;0.2;111.3024;33.3528259;-111.7890238
69;CA-2011-106376;05.12.2011;10.12.2011;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;TEC-PH-10002726;Technology;Phones;netTALK DUO VoIP Telephone Service;167.968;4;0.2;62.988;33.3528259;-111.7890238
70;CA-2013-119823;05.06.2013;07.06.2013;First Class;KD-16270;Karen Daniels;Consumer;United States;Springfield;Virginia;22153;South;OFF-PA-10000482;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;75.88;2;0;35.6636;38.7890522;-77.1870367
71;CA-2013-106075;19.09.2013;24.09.2013;Standard Class;HM-14980;Henry MacAllister;Consumer;United States;New York City;New York;10009;East;OFF-BI-10004654;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;4.616;1;0.2;1.731;40.85880085;-73.8632141502538
72;CA-2014-114440;15.09.2014;18.09.2014;Second Class;TB-21520;Tracy Blumstein;Consumer;United States;Jackson;Michigan;49201;Central;OFF-PA-10004675;Office Supplies;Paper;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";19.05;3;0;8.763;42.2465036;-84.4016962
73;US-2012-134026;26.04.2012;02.05.2012;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FUR-CH-10000513;Furniture;Chairs;"High-Back Leather Manager's Chair";831.936;8;0.2;-114.3912;35.1490215;-90.0516284
74;US-2012-134026;26.04.2012;02.05.2012;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FUR-FU-10003708;Furniture;Furnishings;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";97.04;2;0.2;1.213;35.1490215;-90.0516284
75;US-2012-134026;26.04.2012;02.05.2012;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;OFF-ST-10004123;Office Supplies;Storage;Safco Industrial Wire Shelving System;72.784;1;0.2;-18.196;35.1490215;-90.0516284
76;US-2014-118038;10.12.2014;12.12.2014;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-BI-10004182;Office Supplies;Binders;Economy Binders;1.248;3;0.8;-1.9344;29.7589382;-95.3676973
77;US-2014-118038;10.12.2014;12.12.2014;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;FUR-FU-10000260;Furniture;Furnishings;"6"" Cubicle Wall Clock, Black";9.708;3;0.6;-5.8248;29.7589382;-95.3676973
78;US-2014-118038;10.12.2014;12.12.2014;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-ST-10000615;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;27.24;3;0.2;2.724;29.7589382;-95.3676973
79;US-2011-147606;26.11.2011;01.12.2011;Second Class;JE-15745;Joel Eaton;Consumer;United States;Houston;Texas;77070;Central;FUR-FU-10003194;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19.3;5;0.6;-14.475;29.7589382;-95.3676973
80;CA-2013-127208;13.06.2013;16.06.2013;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-AP-10002118;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";208.16;1;0;56.2032;34.5425325;-86.9090614352423
81;CA-2013-127208;13.06.2013;16.06.2013;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-BI-10002309;Office Supplies;Binders;Avery Heavy-Duty EZD  Binder With Locking Rings;16.74;3;0;8.0352;34.5425325;-86.9090614352423
82;CA-2011-139451;12.10.2011;16.10.2011;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-AR-10002053;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;14.9;5;0;4.172;37.7792808;-122.4192362
83;CA-2011-139451;12.10.2011;16.10.2011;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-ST-10002370;Office Supplies;Storage;Sortfiler Multipurpose Personal File Organizer, Black;21.39;1;0;6.2031;37.7792808;-122.4192362
84;CA-2012-149734;03.09.2012;08.09.2012;Standard Class;JC-16105;Julie Creighton;Corporate;United States;Durham;North Carolina;27707;South;OFF-EN-10000927;Office Supplies;Envelopes;"Jet-Pak Recycled Peel 'N' Seal Padded Mailers";200.984;7;0.2;62.8075;35.9940329;-78.8986189
85;US-2014-119662;14.11.2014;17.11.2014;First Class;CS-12400;Christopher Schild;Home Office;United States;Chicago;Illinois;60623;Central;OFF-ST-10003656;Office Supplies;Storage;Safco Industrial Wire Shelving;230.376;3;0.2;-48.9549;41.8755546;-87.6244211
86;CA-2014-140088;29.05.2014;31.05.2014;Second Class;PO-18865;"Patrick O'Donnell";Consumer;United States;Columbia;South Carolina;29203;South;FUR-CH-10000863;Furniture;Chairs;Novimex Swivel Fabric Task Chair;301.96;2;0;33.2156;34.0007493;-81.0343312
87;CA-2014-155558;27.10.2014;03.11.2014;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;TEC-AC-10001998;Technology;Accessories;Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;19.99;1;0;6.7966;44.0233269;-92.4630214
88;CA-2014-155558;27.10.2014;03.11.2014;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;OFF-LA-10000134;Office Supplies;Labels;Avery 511;6.16;2;0;2.9568;44.0233269;-92.4630214
89;CA-2013-159695;06.04.2013;11.04.2013;Second Class;GM-14455;Gary Mitchum;Home Office;United States;Houston;Texas;77095;Central;OFF-ST-10003442;Office Supplies;Storage;Eldon Portable Mobile Manager;158.368;7;0.2;13.8572;29.7589382;-95.3676973
90;CA-2013-109806;18.09.2013;23.09.2013;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-AR-10004930;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;20.1;3;0;6.633;34.0543942;-118.2439408
91;CA-2013-109806;18.09.2013;23.09.2013;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;73.584;2;0.2;8.2782;34.0543942;-118.2439408
92;CA-2013-109806;18.09.2013;23.09.2013;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-PA-10000304;Office Supplies;Paper;Xerox 1995;6.48;1;0;3.1104;34.0543942;-118.2439408
93;CA-2012-149587;31.01.2012;05.02.2012;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-PA-10003177;Office Supplies;Paper;Xerox 1999;12.96;2;0;6.2208;44.9772995;-93.2654691
94;CA-2012-149587;31.01.2012;05.02.2012;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;FUR-FU-10003799;Furniture;Furnishings;"Seth Thomas 13 1/2"" Wall Clock";53.34;3;0;16.5354;44.9772995;-93.2654691
95;CA-2012-149587;31.01.2012;05.02.2012;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-BI-10002852;Office Supplies;Binders;Ibico Standard Transparent Covers;32.96;2;0;16.1504;44.9772995;-93.2654691
96;US-2014-109484;07.11.2014;13.11.2014;Standard Class;RB-19705;Roger Barcio;Home Office;United States;Portland;Oregon;97206;West;OFF-BI-10004738;Office Supplies;Binders;Flexible Leather- Look Classic Collection Ring Binder;5.682;1;0.7;-3.788;45.5202471;-122.6741948
97;CA-2014-161018;10.11.2014;12.11.2014;Second Class;PN-18775;Parhena Norris;Home Office;United States;New York City;New York;10009;East;FUR-FU-10000629;Furniture;Furnishings;9-3/4 Diameter Round Wall Clock;96.53;7;0;40.5426;40.85880085;-73.8632141502538
98;CA-2014-157833;18.06.2014;21.06.2014;First Class;KD-16345;Katherine Ducich;Consumer;United States;San Francisco;California;94122;West;OFF-BI-10001721;Office Supplies;Binders;Trimflex Flexible Post Binders;51.312;3;0.2;17.9592;37.7792808;-122.4192362
